Level 1 Term,Level 2,FDA Code,Definition
Patient Device Interaction Problem,,4001,Problem related to the interaction between the patient and the device.
,Patient-Device Incompatibility,2682,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.
,Biocompatibility,2886,Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.
,Device Appears to Trigger Rejection,1524,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device."
,Inadequacy of Device Shape and/or Size,1583,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.
,Osseointegration Problem,3003,Problem associated with interconnection between the bone tissue and the implanted device.
,Failure to Osseointegrate,1863,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.
,Loss of Osseointegration,2408,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis
,Loosening of Implant Not Related to Bone-Ingrowth,4002,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.
,Migration or Expulsion of Device,1395,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body."
,Expulsion,2933,Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.
,Migration,4003,Problem with all or part of an implanted or invasive device moving from its intended location within the body.
,Lack of Effect,4065,Problems associated with a product having less efficacy than expected. No other malfunctions could be identified.
,Device Stenosis,4066,"Problem associated with the narrowing or obstruction of the device (e.g. prosthetic heart valves, stents, etc.)."
,Implant subsidence,4078,"Problem related to the settling or collapse of bone adjacent to an implanted device, in direction of the loading force."
"Manufacturing, Packaging or Shipping Problem",,2975,"Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem)."
,Product Quality Problem,1506,Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.
,"Dull, Blunt",2407,Problem associated with a device not being as sharp as intended or expected.
,Nonstandard Device,1420,"Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process)."
,Defective Component,2292,Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.
,Defective Device,2588,Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.
,Device Damaged Prior to Use,2284,Problem associated with packaging or shipping damage prior to the use of the device.
,Packaging Problem,3007,Problem associated with the materials used to construct the cover or outer wrapping of the device.
,Difficult to Open or Remove Packaging Material,2922,"Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping."
,Incomplete or Missing Packaging,2312,Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.
,Unsealed Device Packaging,1444,Problem associated with the loss of packaging seal.
,"Tear, Rip or Hole in Device Packaging",2385,"Problem associated with packaging damage (tear, rip or hole) prior to the use of the device."
,Device packaging look-alike,4079,Problem associated with medical device packaging that  looks similar to another product leading to confusion. The other product may be another device or a different product such as a medicine or cleaning agent.  Use A210107 for Device label look-alike.
,Device Misassembled During Manufacturing /Shipping,2912,A device found incorrectly assembled when delivered to the user facility.
,Component Misassembled,4004,A device found to have one or more components incorrectly assembled when delivered to the user facility. This includes cases in which components are interchanged.
,Component Missing,2306,A device component(s) found to be missing when delivered to the user facility.
,Extra Components,4067,More than the usual number of components present/additional components from this or other devices.
,Shipping Damage or Problem,1570,Problem associated with shipping damage or problem prior to the use of the device.
,Delivered as Unsterile Product,1421,"Problem associated with a device being received in such a manner to indicate that its sterility has been compromised (e.g. sterile packaging breached, visible contaminate present)"
Chemical Problem,,2893,"Problem associated with any from the documented specifications of the device that relate to any chemical characterization, i.e., element, compound, or mixture."
,Device Emits Odor,1425,Problem associated with an unexpected or inappropriate smell released by the device.
,Device Ingredient or Reagent Problem,2910,Problem associated with any deviations from the documented specifications of the device that relate to any ingredient or reagent characterization.
,Clumping in Device or Device Ingredient,1095,Problem associated with the aggregation of particles into irregular masses.
,Coagulation in Device or Device Ingredient,1096,"Problem associated with the undesired characterization of congealing, solidifying, thickening, curdling."
,Precipitate in Device or Device Ingredient,1478,Problem associated with the separation of solid particles from a liquid as the result of a chemical or physical change.
,Cross Reactivity,1137,Problem associated with the degree to which an antibody or antigen participates in cross reactions.
,Particulates,1451,Substances that consist of separate particles that are introduced by the device during use.
,High pH,2426,pH higher than expected and/or anticipated.
,Low pH,4005,pH lower than expected and/or anticipated.
,Unexpected Color,4055,Color of product is different from that expected.
,Improper Chemical Reaction,2952,Problem associated with an unexpected or incomplete chemical reaction or effect.
Material Integrity Problem,,2978,Problem associated with any deviations from the documented specifications of the device that relate to the limited durability of all material used to construct device.
,Break,1069,Problem associated with undesired damage or breakage of those materials used in the device construction.
,Fracture,1260,Problem associated with a partial or full-thickness crack in the device materials.
,Loss of or Failure to Bond,1068,"Problem associated with lack or loss of adherence between materials intended to be joined together by any bonding such as an adhesive, heat welding, etc."
,Material Fragmentation,1261,Problem associated with small pieces of the device breaking off unexpectedly.
,Solder Joint Fracture,2324,Problem associated with undesired damage or breakage in a solder joint of materials used in the device construction.
,Burst Container or Vessel,1074,Problem associated with the pressure inside a vessel or container rising to such a degree that the container ruptures.
,Explosion,4006,"Problem associated with the violent bursting due to the sudden expansion of air, gas or fluid."
,Crack,1135,Problem associated with an undesired partial separation and/or a visible opening along the length or width in the materials that are used in the device construction.
,Degraded,1153,"Problem associated with a undesired change in the chemical structure, physical properties, or appearance in the materials that are used in the device construction."
,Calcified,1077,Problem associated with buildup of calcium salts on the device.
,Corroded,1131,"Problem associated with the chemical or electrochemical reaction between materials, usually a metal and its environment that produces a deterioration of the metal and its properties."
,Material Erosion,1214,Problem associated with a progressive loss of a material from a solid surface.
,Pitted,1460,"Problem associated with the corrosion of a material's surface, confined to a point or small area that takes the form of cavities."
,Flaked,1246,Problem associated with the detachment of small pieces of the coating film of a material.
,Peeled/Delaminated,1454,"Peeling or delamination of composite materials, including coatings, that occurs when layers are separated as a result of stress or impact and resulting in loss of mechanical toughness."
,Naturally Worn,2988,"Problem associated with material damage to a surface, usually involving progressive loss or displacement of material, due to relative motion between that surface and a contacting substance or substances."
,Unraveled Material,1664,"Problem due to the undesired unravelling of material (e.g. disentangled, unwound etc.)."
,Material Deformation,2976,Problem associated with an undesired material change in shape or property caused by external forces.
,Deformation Due to Compressive Stress,2889,"Problem associated with an undesired bulge, bend, bow, kink, or wavy condition observed in the device material resulting from compressive stresses."
,Dent in Material,2526,"Problem associated with a undesired change in shape, characterized by the presence of a slight hollow (dent) in the device surface."
,Failure to Fold,1255,"Problem associated with an undesired material change in physical property, characterized by failure to fold."
,Failure to Unfold or Unwrap,1669,Problem associated with the comprising materials' deformation in that device fails to open its wrapping or open/extend in a certain manner i.e. balloon or lens.
,Material Frayed,1262,Problem associated with the comprising materials having damaged edges.
,Material Invagination,1336,"Problem associated with an undesired material change in shape, characterized by the infolding of one part within another part of a structure."
,Material Too Rigid or Stiff,1544,"Problem associated with an undesired material change in physical property, characterized by rigidity (it resists deformation in response to an applied force)."
,Material Too Soft/Flexible,4007,Problem associated with any device material that results in the material's inability to maintain the desired shape or support function.
,Material Twisted/Bent,2981,Problem associated with deformations that lead to twisting or bending of the device.
,Melted,1385,Problem associated with a solid device being transformed into a molten or liquid state.
,Stretched,1601,Problem associated with an increase or elongation in a materials' dimension.
,Thickening of Material,4056,Device is thickened due to deformation. Note: Not to be used for thickening of liquid.
,Material Discolored,1170,"Problem associated with an undesired streak, pattern and/or a noticeable change in color from the rest of the materials used in the device construction."
,Material Disintegration,1177,Problem associated with material breaking into small particles.
,Material Opacification,1426,Problem associated with an undesirable opaqueness or cloudiness.
,Material Perforation,2205,Material constituting device is perforated possibly compromising the device's intended purpose.
,Material Puncture/Hole,1504,Device material(s) punctured leading to undesired holes/openings.
,Material Protrusion/Extrusion,2979,"Problem associated with undesired physical appearance of device material, specifically when material extends beyond or above device surface."
,Material Rupture,1546,Problem associated with perforations that lead to bursting of the device.
,Material Separation,1562,Problem associated with an undesired disassociation or breaking apart of the device.
,"Material Split, Cut or Torn",4008,"Problem associated with materials consisting the device are split, cut or torn due to external forces (e.g. wrenching or laceration) or internal forces (e.g. exceeding the tensile stress limits belonging to the materials used in the device construction)."
,Scratched Material,3020,Problem associated with an undesirable shallow cut or narrow groove in the surface of the device materials.
Mechanical Problem,,1384,"Problems associated with mechanical actions or defects, including moving parts or subassemblies, etc."
,Detachment of Device or Device Component,2907,"Problem associated with the separation of the device from its physical construct, integrity, or chassis."
,Device Damaged by Another Device,2915,Problem associated with one device causing harm to another device.
,Ejection Problem,4009,Problems associated with the inability or unexpected ejection or discharge of the device from its physical location.
,Failure to Eject,4010,Problem associated with the inability of the device to be ejected or discharged from its physical location.
,Unintended Ejection,1234,"Problem associated with unexpected ejection of the device from its physical location. This includes but is not limited to devices such as clip appliers, film cartridge, and staples."
,Leak/Splash,1354,"Problem associated with the escape of a liquid (including blood and bodily fluids), gas or radiation from the vessel or container in which it is housed."
,Fluid/Blood Leak,1250,"Escape (Release, Discharge) of fluid (including blood or bodily fluid) through an unintended location; often accompanied by a loss of pressure and/or output. This includes both external and internal fluid leak. This does not include fluidized powder leak."
,Gas/Air Leak,2946,Problem associated with the unintended escape of a gas/air from the container in which it is housed. This also includes both external and internal air/gas leak.
,Gel Leak,1267,"Escape (Release, Discharge) of gel through an unintended location - as in leakage of ultrasound gel. Escape or release of gel from containment structures - as in gel filled implant leak."
,Radiation Leak,1357,"Escape of radiation (energy in the form of waves or subatomic particles, especially those that cause ionization) through containment structures, leading to unintended exposure."
,Perivalvular Leak,1457,"Problem associated with the escape of blood around a heart valve, particularly around its leaflets. Also known as paravalvular leak."
,Intravalvular regurgitation,4068,Problem associated with the escape or backward flow of blood through or across the valve.  Also known as transvalvular regurgitation
,Powder Leak,4069,"Escape (release, discharge) of powder (including particulates) through an unintended location,  often accompanied by a loss of pressure and/or output."
,Endoleaks,4074,Problem associated with persistent blood flow/pressure in the aneurysm sac following an endovascular aneurysm repair (EVAR) procedure.
,Unspecified Valve Regurgitation,4080,Problem associated with the escape or backward flow of blood relative to a valve where it is not specified or not confirmed whether the leak is transvalvular/intravalvular or paravalvular/perivalvular.
,Firing Problem,4011,Problem associated with the device not discharging as intended.
,Failure to Fire,2610,Problem associated with failure of the device to discharge its load (e.g. surgical stapler failed to partially or completely deploy its staples).
,Misfire,2532,Problem associated with a therapy or algorithm not being delivered or executed at the expected time.
,Mechanical Jam,2983,The motion of the device is prevented or restricted.
,Mechanics Altered,2984,"Problem associated with a device mechanical functioning of machinery, moving parts or tools of device being changed or modified."
,Failure to Align,2522,"Problem associated with a circuit, equipment, or system whereby its functions fail to be properly synchronized or its relative positions properly oriented."
,Failure to Cut,2587,"Inability of the device to make an incision, pierce or open as intended."
,Failure to Cycle,1142,Problem associated with the device failing to complete a series of processes or events.
,Failure to Form Staple,2579,Problem associated with the device failing to connect tissue with a stapling device due to the staples not forming correctly.
,Failure to Seal,4070,Problem associated with the device failing to seal the intended vessel with the device intended to provide a seal (e.g. electrosurgical hemostasis). 
,"Noise, Audible",3273,"Problem associated with any unintended sound which emanates from the device (for example, squeaking from two parts rubbing together or buzzing sounds from electrical components)."
,Physical Resistance/Sticking,4012,Problem associated with the lack of movement in the device due parts sticking or seizing.
,Adhesive Too Strong,4071,Strength of an adhesive bond is too great; typically used when the adhesive is meant as a temporary hold but is acting in a more permanent manner.
,Retraction Problem,1536,Problem associated with drawing back the device to an intended location.
,Structural Problem,2506,Problem associated with the basic physical construction or physical make up of the device.
,Collapse,1099,Problem associated with the buckling or crushing of material from external forces.
,Sharp Edges,4013,The device has undesirable sharp edges which can cause harm or damage.
,"Difficult to Fold, Unfold or Collapse",1254,"Problem associated with the use of the device in terms of user experiencing difficulty to close or to spread out/extend length of the device, even if the operation is being performed according to labeled instructions for use."
,Difficult to Open or Close,2921,"Problem associated with the use of the device in terms of user experiencing difficulty opening and closing the device, even if the operation is being performed according to labeled instructions for use."
,Incomplete Coaptation,2507,Problem associated with the heart valve leaflet not closing properly.
,Unintended Movement,3026,"Problem associated with an undesired movement of the device, which may be related to the device malfunction, misdiagnosis, or mistreatment."
,Device Dislodged or Dislocated,2923,Problems associated with the device not remaining in an expected location.
,Device Tipped Over,2589,Problem associated with the inability of the device to stay in an upright position.
,Device Fell,4014,Problem associated with the device or a component unexpectedly being dropped or moving down from an intended place.
,Device Slipped,1584,Problem associated with the device moving or sliding from the intended position.
,Unintended Collision,1429,Problem associated with the device impacting with another object.
,Unintended System Motion,1430,Problem associated with any motion of the system or components that was not initiated by the user.
,Unstable,1667,Problem associated with the mechanical stability of the device.
,Vibration,1674,Problem associated with the undesirable mechanical oscillation.
,Inadequate Lubrication,4057,The device shows inadequate lubrication.
,Damaged Thread,4075,Problems associated with threads that are damaged either prior to use due to bad threading or repeated re-use (possibly with other damaged components) or threads that became stripped or damaged while being used.
Optical Problem,,3001,Problem associated with transmission of visible light affecting the quality of the image transmitted or otherwise affecting the intended application of the visible light path.
,Misfocusing,1401,The problem relates to the poor focusing of the object or the focus is on the wrong object or in the wrong area.
,Optical Decentration,1360,Problem associated with being off-center of optical lenses.
,Optical Discoloration,2999,Problem associated with an undesired change of color.
,Optical Distortion,3000,Problem associated with an optical defect in an image-forming system whereby the image is not the shape of an ideal image of the object.
,Optical Obstruction,3002,"Problem associated with the blocking of optical devices, e.g. visual pathways."
Electrical /Electronic Property Problem,,1198,Problem associated with the function of the electrical circuitry of the device.
,Capturing Problem,2891,Problem associated with the inability of the device to achieve successful depolarization and contraction of a cardiac chamber caused by a pacemaker output pulse.
,Failure to Capture,1081,Problem associated with the failure to achieve effective and consistent depolarization of the heart resulting from the electrical stimulus of the pacemaker.
,High Capture Threshold,3266,Problem with the amount of output energy needed to cause cardiac depolarization being higher than expected/desired.
,Intermittent Capture,1080,Problem associated with the ineffective and inconsistent depolarization of the heart.
,Unstable Capture Threshold,3269,Problem with the amount of output energy needed to cause cardiac depolarization being unstable.
,Continuous Firing,1123,Problem associated with the excessive production of electrical impulses over a period.
,Arcing,2583,"Problem associated with electrical current flowing through a gap between two conductive surfaces, typically resulting in a visible flash of light."
,Arcing at Paddles,1032,"Problem associated with electrical current flowing through a gap between paddles (conductive surfaces), typically resulting in a visible flash of light."
,Arcing of Electrodes,2289,"Problem associated with electrical current flowing through a gap between electrodes (conductive surfaces), typically resulting in a visible flash of light."
,Sparking,2595,"Problem associated with a flash of light related to an electrical discharge into a normally non conductive medium, such as air. Not associated with a discharge between two conductive surfaces."
,Battery Problem,2885,"Problem associated with the internal power of the device (e.g. battery, transformer, fuel cell or other power sources)."
,Battery Problem: High Impedance,2947,Problem related to increased battery internal impedance.
,Battery Problem: Low Impedance,2973,Problem related to decreased battery internal impedance.
,Failure to Run on Battery,1466,Problem associated with the device failing to operate when not connected to a fixed power source.
,Premature Discharge of Battery,1057,Battery discharging earlier than expected.
,Charging Problem,2892,Problem associated with the inability of the device to successfully charge an electrical source.
,Aborted Charge,2288,Problem associated with the premature ending of the charging process (e.g. of a battery or other charge storage device).
,Delayed Charge Time,2586,Problem associated with an unexpected amount of time required to charge the device (e.g. a delay in starting charging or a longer than expected charge time).
,Failure to Charge,1085,Problem associated with inability to initiate the appropriate charging process (e.g. of a battery or other charge storage device)
,Failure to Discharge,1169,Problem associated with the failure of a battery or other charge storage device to appropriately discharge as intended. Does not apply to defibrillation.
,Power Problem,3010,Problem associated with the energy to operate the device.
,Complete Loss of Power,4015,Problem associated with the lack of power to run the device.
,Intermittent Loss of Power,4016,Problem associated with an intermittent disruption to the power to run the device.
,Failure to Power Up,1476,Problem associated with the inability of the device to turn on related to energy delivered to the device.
,Unintended Power Up,1162,Problem associated with the device turning on when not intended.
,Device Sensing Problem,2917,"Problem associated with the device feature that are designed to respond to a physical stimulus (temperature, illumination, motion, cardiac rhythms) and that do not transmit a resulting signal for interpretation or measurement."
,Decreased Sensitivity,2534,Problem with the device being less sensitive to an input than intended or expected.
,Increased Sensitivity,2535,Problem with the device being more sensitive to an input than intended or expected.
,Failure to Analyze Signal,1539,Problem with the device not analyzing a signal.
,Failure to Select Signal,1582,Problem associated with the failure of the device to select the appropriate input signal.
,High Sensing Threshold,2574,Problem associated with the amount of input required by the device to detect a signal being higher than expected/desired.
,Low Sensing Threshold,2575,Problem associated with the amount of an input required by the device to detect a signal being lower than expected/desired.
,Loss of Threshold,1633,"Problem associated with the loss of the minimum amount of energy, voltage, or current needed to consistently stimulate the heart muscle."
,Failure to Sense,1559,"Problem associated with the failure of the device designed to respond to a physical stimulus (as temperature, illumination, motion) to transmit a resulting signal for interpretation or measurement."
,Over-Sensing,1438,Problem related to failure of the device to properly filter cardiac signals resulting in inappropriate device response.
,Under-Sensing,1661,Problem related to failure of the device to properly detect intrinsic cardiac activity and respond appropriately.
,Sensing Intermittently,1558,Problem with the device receiving an incoming signal on an intermittent basis when expected to be continuous.
,Incorrect Interpretation of Signal,1543,Problem with the device inappropriately analyzing a signal.
,Failure to Conduct,1114,Problem associated with the inability of the device to allow a current of electricity to pass or to conduct electricity continuously along an electrical path.
,Interrogation Problem,4017,Problems associated with the device's ability to respond to signals from a system designed to interrogate its status.
,Difficult to Interrogate,1331,Problem associated with difficulty of a transponder system to trigger a response.
,Failure to Interrogate,1332,Problem associated with the device failure to appropriately respond to signals from a system designed to interrogate its status.
,Pacing Problem,1439,Problem associated with the inability of the device to generate a therapeutic simulated heart beat via electrical impulses.
,Failure to Convert Rhythm,1540,Failure of the device therapy or set of therapies to terminate the harmful cardiac rhythm that the therapy is meant to terminate.
,Inaccurate Synchronization,1609,"Problem associated with an error due to imperfect timing of two operations, e.g. signal transmission time."
,Inappropriate Waveform,2536,"Failure of the device to generate a correctly-shaped pacing output, e.g., a waveform that is too wide."
,No Pacing,3268,Problem associated with the device ceasing to deliver paces.
,Pacemaker Found in Back-Up Mode,1440,"A device with a pacing function found in back-up Mode. This may be an appropriate fail-safe action (e.g. end of battery life), or be caused by device malfunction or due to operator error."
,Pacing Asynchronously,1441,"Problem associated with a pacing transmission process such that between any two significant instants in the same group, there is always an integral number of unit intervals. Between two significant instants located in different groups, there are not always an integral number of unit intervals."
,Pacing Inadequately,1442,Pacing voltage or pulse width is less than desired.
,Pacing Intermittently,1443,"Problem associated with the failure of pacing device for a limited period of time, following which the item recovers its ability to perform its required function without being subjected to any external corrective action. Note: such as failure is often recurrent."
,Pocket Stimulation,1463,Problem associated with a pocket of skin in which the pulse generator is housed.
,Defibrillation/Stimulation Problem,1573,Problem associated with the delivery of electrical shock/stimulation by a device intended to deliver shocks/stimulation.
,Failure to Deliver Shock/Stimulation,1133,Problem associated with the failure of the device to deliver electrical energy.
,Inappropriate/Inadequate Shock/Stimulation,1574,A shock was delivered with incorrect energy level or at incorrect timing.
,Intermittent Shock/Stimulation,2287,"Problem associated with the failure to deliver electrical energy for a limited period of time, following which the item recovers its ability to perform its required function without being subjected to any external corrective action. Note: such a failure is often recurrent."
,Unintended Electrical Shock,4018,The device delivers unintended electrical shock. Use this term for devices that are not intended to deliver shocks/stimulation.
,Grounding Malfunction,1271,Problem associated with the inability to connect conductors of an electronic system for the purpose of controlling or impeding ground currents and voltages.
,Electrical Overstress,2924,Problem associated with an electrical activity that exceeded the specified threshold limit of the internal integrated circuitry.
,Electro-Static Discharge,2149,Problem associated with the discharge of electricity between two bodies previously electrically charged.
,Failure to Shut Off,2939,Problem associated with the device not powering off when a shut down was requested.
,Device Remains Activated,1525,Problem associated with the device continuing to be in an active state after deactivation was requested.
,Unexpected Shutdown,4019,Problem associated with the device unexpectedly powering down.
,Electromagnetic Compatibility Problem,2927,Problem associated with the ability of a system to function in its electromagnetic environment without introducing intolerable disturbances to anything in its environment.
,Electromagnetic Interference,1194,Problem associated with a measure of electromagnetic radiation from equipment.
,Radiofrequency Interference (RFI),2314,Problem associated with the degradation of the reception of a wanted signal caused by RF disturbance.
,Circuit Failure,1089,"Problem associated with a failure of the internal network paths or electrical circuitry (i.e. electrical components, circuit boards, wiring)"
,Capacitative Coupling,1079,Problem associated with the transfer of energy within an electrical network by means of the capacitance between circuit nodes. It occurs when energy is coupled from one circuit to another through an electric field.
,Electrical Shorting,2926,Problem associated with an electric current travelling along an accidental path (unintended path) in a circuit.
,Intermittent Continuity,1121,Problem associated with intermittent faults in electrical/electronic interconnections.
,Impedance Problem,2950,Problem associated with electrical impedance levels between device and patient connections.
,High impedance,1291,Problem associated with higher than intended electrical impedance levels between device and patient connections.
,Low impedance,2285,Problem associated with lower than intended electrical impedance levels between device and patient connections.
,Device in Backup-mode,4076,"A device found in back-up mode. This may be an appropriate fail-safe action (e.g. end of battery life), or be caused by device malfunction or due to operator error."
Calibration Problem,,2890,"Problem associated with the operation of the device, related to its accuracy, and associated with the calibration of the device."
,Failure to Calibrate,2440,Problem associated with the failure of the device to perform a self-calibration procedure or process designed to assure the accuracy and proper performance of the device.
,Failure to Recalibrate,1517,Problem associated with the failure of the device which is unable to regain a standard level of accuracy when performing a calibration procedure or process designed to assure the accuracy and proper performance of the device.
,Imprecision,1307,Problem associated with the device providing imprecise measurements when compared to a reference standard.
,Overcorrection,3006,Problem associated with an adjustment that surpasses a set of criteria.
,Undercorrection,4058,Problem associated with an adjustment that falls below a set of criteria.
Output Problem,,3005,"Problem associated with any deviation from the documented specifications of the device that relate to the end result, data, or test results provided by the device."
,Audible Prompt/Feedback Problem,4020,"Problem with any deviation from the documented specifications of the device that relate to audible feedback. e.g. voice prompts or beeps, but not safety related alarms which are covered under ""Protective Measures Problem""."
,Inappropriate Audible Prompt/Feedback,2280,Problem with audible messages which do not guide a device user to the correct action.
,Inaudible or Unclear Audible Prompt/Feedback,2283,Problem associated with audible prompts which cannot be heard clearly.
,No Audible Prompt/Feedback,2282,Problem associated with the device ceasing to provide audible prompts.
,Display or Visual Feedback Problem,1184,"Problem with any deviation from the documented specifications of the device that relate to visual feedback. e.g. the display of information, images on a screen, or output from the device."
,Device Displays Incorrect Message,2591,Problem associated with providing incorrect display information.
,Display Difficult to Read,1181,"Problem associated with legibility of the display, compromising for instance  the reading/interpretation of patient parameters or test results. Legibility problems can be due to color, size of font, display screen contrast or other factors."
,Erratic or Intermittent Display,1182,"A device does not consistently display the same message, result, reading, or image. e.g. the display might flicker, switch between readings or messages, or go completely blank for brief periods of time."
,Image Display Error/Artifact,1304,Problem with image display leading to corrupted images or readouts/measurement indications.
,Image Orientation Incorrect,1305,Problem associated with an incorrect image orientation on the device display.
,No Display/Image,1183,Problem associated with the absence of display or image.
,No Visual Prompts/Feedback,4021,Problem associated with the device ceasing to provide visual feedback.
,Poor Quality Image,1408,"Inadequate quality of an image or any visual representation displayed by the device, or output from the device."
,Visual Prompts will not Clear,2281,Problem with visual messages which continue to be displayed on/by the device after the appropriate action has been taken.
,Tactile Prompts/Feedback,4022,Problem with any deviation from the documented specifications of the device that relate to tactile feedback. e.g device vibrational prompt.
,Inappropriate Tactile Prompt/Feedback,4023,Problem with tactile feedback which does not guide a device user to the correct action.
,No Tactile Prompts/Feedback,4024,Problem associated with the device ceasing to provide tactile feedback.
,Energy Output Problem,1431,Problem with the device's intended output of energy.
,Energy Spectrum Incorrect,1210,Problem associated with the energy output from the device not being in the expected part of the spectrum.
,Failure to Deliver Energy,1211,Problem associated with the failure of the device to deliver any energy.
,Intermittent Energy Output,4025,Problem associated with the energy output from the device being inconsistent over time.
,Output above Specifications,1432,Device output is exceeding the documented specifications of the device.
,Output below Specifications,3004,Device output is below the documented specifications of the device.
,Therapeutic or Diagnostic Output Failure,3023,Problem associated with the failure of the device to deliver the output required for treatment or identification of a disease.
,Therapy Delivered to Incorrect Body Area,1508,Problem associated with the device causing unintended therapeutic action to an area of the body other than the intended area.
,Radiation Output Problem,4026,Problem with the device's intended output of radiation.
,Radiation Output Failure,4027,Problem associated with the absence of radiation output from radiological or diagnostic devices.
,Radiation Overexposure,3017,Problem associated with excessive radiation emitted from radiological or diagnostic devices.
,Radiation Underexposure,3018,Problem associated with too little radiation emitted from radiological or diagnostic devices.
,Unexpected/Unintended Radiation Output,4028,"Device-emitted radiation when it was not supposed to. This applies to devices which are intended to emit radiation, and the radiation being emitted from the correct part of the device, but at an incorrect time. Use ""radiation leak"" if the device emits radiation which should never have been emitted, or from a location from which it should never be emitted."
,Gas Output Problem,1266,Problem associated with gas output.
,No Device Output,1435,"Problem associated with no measurement outcome, value or data obtained from the device."
,"Incorrect, Inadequate or Imprecise Result or Readings",1535,"Problem associated with a nonconforming end result, data, or test results provided by the device to its performance specifications."
,Signal Artifact/Noise,1036,Problem associated with impurities or interference in a signal (e.g. ECG artifact).
,Failure to Obtain Sample,2533,The device does not collect or transfer the sample.
